CodigoSucursal,CodigoFuerza,CodigoModoAtencion,CodigoRuta,CodigoCliente,FechaDesde,FechaHasta
1,1,PRE,90,7819,2001/01/01,31/12/8999
1,1,PRE,28,7825,2001/01/01,31/12/8999
1,1,PRE,88,7842,2001/01/01,31/12/8999
1,1,PRE,90,7847,2001/01/01,31/12/8999
1,1,PRE,100,7886,2001/01/01,31/12/8999
1,1,PRE,100,7888,2001/01/01,31/12/8999
1,1,PRE,87,7889,2001/01/01,31/12/8999
1,1,PRE,88,7911,2001/01/01,31/12/8999
1,1,PRE,90,7919,2001/01/01,31/12/8999
1,1,PRE,73,7922,2001/01/01,31/12/8999
1,1,PRE,95,7936,2001/01/01,31/12/8999
1,1,PRE,87,7950,2001/01/01,31/12/8999
1,1,PRE,90,7957,2001/01/01,31/12/8999
1,1,PRE,90,7960,2001/01/01,31/12/8999
1,1,PRE,96,7982,2001/01/01,31/12/8999
1,1,PRE,96,7983,2001/01/01,31/12/8999
1,1,PRE,100,7994,2001/01/01,31/12/8999
1,1,PRE,88,8010,2001/01/01,31/12/8999
1,1,PRE,95,8049,2001/01/01,31/12/8999
1,1,PRE,73,8058,2001/01/01,31/12/8999
1,1,PRE,87,8065,2001/01/01,31/12/8999
1,1,PRE,28,8068,2001/01/01,31/12/8999
1,1,PRE,28,8079,2001/01/01,31/12/8999
1,1,PRE,120,8090,2001/01/01,31/12/8999
1,1,PRE,90,8093,2001/01/01,31/12/8999
1,1,PRE,107,8095,2001/01/01,31/12/8999
1,1,PRE,107,8096,2001/01/01,31/12/8999
1,1,PRE,28,8097,2001/01/01,31/12/8999
1,1,PRE,107,8120,2001/01/01,31/12/8999
1,1,PRE,107,8121,2001/01/01,31/12/8999
1,1,PRE,120,8133,2001/01/01,31/12/8999
1,1,PRE,90,8149,2001/01/01,31/12/8999
1,1,PRE,91,8161,2001/01/01,31/12/8999
1,1,PRE,102,8164,2001/01/01,31/12/8999
1,1,PRE,95,8168,2001/01/01,31/12/8999
1,1,PRE,95,8182,2001/01/01,31/12/8999
1,1,PRE,73,8183,2001/01/01,31/12/8999
1,1,PRE,96,8295,2001/01/01,31/12/8999
1,1,PRE,87,8316,2001/01/01,31/12/8999
1,1,PRE,95,8330,2001/01/01,31/12/8999
1,1,PRE,96,8332,2001/01/01,31/12/8999
1,1,PRE,91,8344,2001/01/01,31/12/8999
1,1,PRE,100,8347,2001/01/01,31/12/8999
1,1,PRE,102,8351,2001/01/01,31/12/8999
1,1,PRE,95,8357,2001/01/01,31/12/8999
1,1,PRE,88,8362,2001/01/01,31/12/8999
1,1,PRE,102,8364,2001/01/01,31/12/8999
1,1,PRE,96,8365,2001/01/01,31/12/8999
1,1,PRE,90,8371,2001/01/01,31/12/8999
1,1,PRE,28,8378,2001/01/01,31/12/8999
1,1,PRE,102,8379,2001/01/01,31/12/8999
1,1,PRE,90,8390,2001/01/01,31/12/8999
1,1,PRE,90,8391,2001/01/01,31/12/8999
1,1,PRE,28,8413,2001/01/01,31/12/8999
1,1,PRE,120,8414,2001/01/01,31/12/8999
1,1,PRE,91,8415,2001/01/01,31/12/8999
1,1,PRE,73,8416,2001/01/01,31/12/8999
1,1,PRE,95,8417,2001/01/01,31/12/8999
1,1,PRE,28,8418,2001/01/01,31/12/8999
1,1,PRE,28,8423,2001/01/01,31/12/8999
1,1,PRE,91,8427,2001/01/01,31/12/8999
1,1,PRE,28,8428,2001/01/01,31/12/8999
